CLASS,RITUAL,LEVEL,COST,LOCATION,DESCRIPTION
Dwarf Queen (Rune Smith),Earth Brand Weapons,2,20 EM,Anywhere,"By Earth Branding a weapon it becomes magic and will stun the foes it strikes, should they survive. Dwarves with Armor of Dvalin as well as Arbalests can be targeted by this ritual."
Dwarf Queen (Rune Smith),Rime Brand Ballista,2,20 SA,Anywhere,"A Rime Branded Ballista will freeze a large area around the place where it hit, potentially killing many foes with a single Giant Arrow."
Dwarf Queen (Rune Smith),Flame Brand Ballista,2,20 RU,Anywhere,"A Flame Branded Ballista will burn a large area around the place where it hit, potentially killing many foes with a single Giant Arrow."
Dwarf Queen (Rune Smith),Earth Brand Ballista,2,20 EM,Anywhere,"A Earth Branded Ballista will stun a large area around the place where it hit, potentially disrupting many foes with a single Giant Arrow."
Enchanter,Lesser Ritual,-,10 Gold,Anywhere,Grants the caster a new first level ritual.
Enchanter,Ritual of Mastery,-,30 Gold,Anywhere,"Grants the caster a new second level ritual. If the caster is currently unable to cast second level rituals, it will be leveled up as well."
Enchanter,Grand Ritual,-,180 Gold,Anywhere,"Grants the caster a new third level ritual. If the caster is currently unable to cast thirs level rituals, it will be leveled up as well."
Enchanter,Animate Sword,1,1 Iron; 2 AP,Fortified Citadels,"A sword that is enchanted with this ritual will become alive, almost. It will float in the air and obey simple orders from the Enchanter or his other Commanders. The ritual can only be cast in fortresses and similar locations where there are plenty of suitable swords to enchant."
Enchanter,Animate Bow,1,1 Iron; 2 AP,Fortified Citadels,"A bow that is enchanted with this ritual will become alive, almost. It will float in the air and obey simple orders from the Enchanter or his other Commanders. The ritual can only be cast in fortresses and similar locations where there are plenty of suitable bows to enchant."
Enchanter,Animate Spear,1,1 Iron; 3 AP,Fortified Citadels,"A spear that is enchanted with this ritual will become alive, almost. It will float in the air and obey simple orders from the Enchanter or his other Commanders. The ritual can only be cast in fortresses and similar locations where there are plenty of suitable spears to enchant."
Enchanter,Animate Armor,1,10 Iron; 3 AP,Fortified Citadels,Makes a full plate armor come to life and it will obey simple commands from the Enchanter. The ritual can only be cast in fortresses and similar locations where there are plenty of suitable sets of armor to enchant.
Enchanter,Craft Gargoyle,1,5 Gold; 5 Iron; 2 AP,Temples; Fortified ,"The Enchanter crafts a Gargoyle from ordinary earth and brings it to life with a complex ritual. This ritual is both time consuming and expensive, but the Gargoyle is a solid construct that is difficult to harm in combat."
Enchanter,Create Flesh Golem,1,5 Gold; 5 HMND_Corpses; 2 AP,Anywhere,"By taking 5 random Corpses and stitching them together into one large humanoid being the Enchanter can create a Flesh Golem. The creating of a Flesh Golem is relatively quick and inexpensive, but it is not nearly as powerful as golems made out of more solid materials."
Enchanter,Sculpt Terracotta Soldier,1,2 AP,Swamps; Bogs,"The Enchanter forms a soldier out of mud and brings it to life with a simple enchantment. The process takes a long time, but it does not require any resources other than large quantities of mud."
Enchanter,Animate Tools,1,10 Iron; 3 AP,Gold Income ,"The ritual is quite time consuming and can only be cast where people work and live. If cast in a mine, mining tools are created. The animated tools will increase gold and iron output from the Settlement. The enchantment animating the tools is local and the tools can't leave their place of creation."
Enchanter,Create Mimic,1,5 Gold; 5 Iron; 2 AP,Villages; Smaller Settlements,"Even though an Enchanter could create a Mimic from just about any furniture, the chest is usually the preferred piece of furniture to use. This gives the mimic a very large mouth with which it can attack its prey and chests are also exceedingly good at drawing the attention of any would be raiders. It is possible to tell a Mimic apart from an ordinary piece of furniture by touching it, as it is quite slimy. The slime is sticky and will make it difficult to move and escape from the Mimic, even though a chest shape is badly suited for movement."
Enchanter,Craft Guardian,2,15 Gold; 5 Iron; 4 AP,Land ,The Enchanter creates an immobile Guardian statue. The Guardian sees everything and blasts unwanted intruders with lightning.
Enchanter,Create Necrotod,2,35 Gold; 10 Corpses; 3 AP,Land ,"The bones of 10 Corpses are gathered together to form the Necrotod, an animated snake made of bones. In addition to the Corpses, the ritual requires a fair bit of gold and much time to perform."
Enchanter,Create Wood Golem,2,20 Gold; 20 Iron; 3 AP,Forests; Jungles,"Chops down a small forest and builds a huge Wood Golem out of the best trees. The ritual can be performed in both northern Forests and southern Jungles, but the Ancient Forests are able to resist the effect. As with most golem creations, the process is both time consuming and expensive."
Enchanter,Create Stone Golem,2,40 Gold; 40 Iron; 5 AP,Coal Mines,"Consumes the hidden power inherent in a Coal Mine and makes the mine rise as a Stone Golem. Stone Golems are both huge and made out of stone, which makes them almost impossible to destroy with ordinary weapons. As with most golem creations, the process is both time consuming and expensive."
Enchanter,Create Ice Golem,2,50 Gold; 50 Iron; 5 AP,Frozen Lakes,"Transforms the ice of a frozen freshwater lake into a huge Ice Golem. Ice Golems can only be made where and when it is cold, because the water must be frozen. As with most golem creations, the process is both time consuming and expensive."
Enchanter,Create Clay Golem,2,50 Gold; 50 Iron; 4 AP,Swamps; Bogs,"Transforms a Swamp into a mighty Clay Golem. Clay Golems retain some of the volatile property of mud and any wounds they suffer will close almost instantly. As with most golem creations, the process is both time consuming and expensive."
Enchanter,Enliven Statue,2,2 AP,Ancient Temples,The Enchanter will bring a humanlike statue to life and make it obey simple orders. The ritual can only be performed in temples where there is an ample supply of statues and each casting of this ritual has a chance of destoying the temple.
Enchanter,Enchanted Gate,2,50 Gold; 25 Iron; 3 AP,Fortified ,"Improves the defensive capabilites of the Citadel by enchanting the iron gate. When enchanted the gate is magically reinforced and charged with lightning, striking down anyone trying to break it down."
Enchanter,Iron Grafting,2,10 Iron,Anywhere,Puts armored plates on a Flesh Golem and replaces the Golem's hands with iron weapons.
Enchanter,Animate Quills and Scrolls,2,10 Gold; 3 AP,Trade ,"The ritual is quite time consuming and can only be cast where people work and live. The animated tools will increase the Trade gained from the Settlement by +1, up to double the orginal value. The enchantment animating the quills is local and they can't leave their place of creation."
Enchanter,Animate Ballista,2,25 Iron; 3 AP,Fortified Citadels,Makes a ballista come to life. The animated ballista floats in the air and no longer needs a stand. It therefore moves as fast as regular armies. It reloads itself and has a higher rate of fire than ordinary Ballistas. The ritual can only be cast in fortresses and similar locations where there are suitable parts available.
Enchanter,Dogs of Gold and Silver,2,50 Gold; 10 Iron; 3 AP,Land ,"The Enchanter creates 2 magnificent Dogs of Gold and Silver and grants them false life. The dogs are excellent trackers and have Acute Senses. The Dog of Silver will swiftly attack enemies, while the Dog of Gold will stay close to it's creator and defend him from harm."
Enchanter,Create Juggernaut,2,50 Gold; 5 AP,Ancient Temples,"The Enchanter plunders an Ancient Temple and uses the scared statues and ritual paraphernalia of the temple to create a huge shrine on wheels and give it sentience and mobility. The Juggernaut, like most messengers of the divine, wanders around on its own whims and attracts followers who search for religious guidance."
Enchanter,Create Oak Golem,3,40 Gold; 40 Iron; 6 AP,Ancient Forests,Consumes an Ancient Forest in order to create a powerful Oak Golem. Only Ancient Forests have the power required to create an Oak Golem and the process is also time consuming and expensive.
Enchanter,Create Iron Golem,3,60 Gold; 60 Iron; 7 AP,Iron Mine,"Consumes the hidden power inherent in an Iron Mine and makes the mine rise as an Iron Golem. Iron Golems are both huge and made of iron, which makes them about impossible to destroy. As with most golem creations, the process is both time consuming and expensive."
Enchanter,Create Onyx Golem,3,70 Gold; 70 Iron; 8 AP,Gold Stream,"Consumes the hidden power inherent in a Gold Stream and makes the surrounding mountain rise as an Oynx Golem. Onyx Golems are huge and made of onyx, which makes them almost impossible to destroy. As with most golem creations, the process is both time consuming and expensive."
Enchanter,Create Crystal Golem,3,80 Gold; 80 Iron; 9 AP,Gem Deposits; Crystal Forests,"Consumes the hidden power inherent in a crystal deposits and makes the crystals fuse together and rise as a Crystal Golem. Crystal Golems are huge and made of crystal, which makes them very difficult to destroy. As with most golem creations, the process is both time consuming and expensive."
Enchanter,Create Silver Golem,3,90 Gold; 90 Iron; 9 AP,Silver Mines,"Consumes the hidden power inherent in a Silver Mine and makes the mine rise as a Silver Golem. Silver Golems are both huge and made of silver, which makes them just about impossible to destroy. As with most golem creations, the process is both time consuming and expensive."
Enchanter,Create Gold Golem,3,100 Gold; 100 Iron; 10 AP,Gold Mines,"Consumes the hidden power inherent in a Gold Mine and makes the mine rise as a Gold Golem. Gold Golems are both huge and made of gold, which makes them both nearly impossible to destroy and extremely valuable. As with most golem creations, the process is both time consuming and expensive."
Enchanter,Create Home Portal,3,60 Gold; 60 Iron; 6 AP,Crystal Tower,"The Enchanter is able to create a permanent portal through which armies can cross vast distances instantly. This ritual creates the Home Portal, which must be placed in the home Citadel. After creating the Home Portal, further portals can be placed wherever the Enchanter happens to be. The portals can be used by enemies as well and other Enchanters share the same portal space and will be able to go from their portals to another Enchanter's portals."
Enchanter,Create Portal,3,60 Gold; 60 Iron; 6 AP,Land ,The Enchanter is able to create a permanent portal through which armies can cross vast distances instantly. This ritual creates one such portal. The portals can be used by enemies as well and other Enchanters share the same portal space and will be able to go from their portals to another Enchanter's portals.
Enchanter,Infuse Magic Library,3,50 Gold; 50 Iron; 6 AP,Level 2 Libraries,"The Enchanter enchants the very books in an entire Library and gives them awareness. The collective awareness and lore of the books are then transferred to a more suitable vessel, one of the Enchanter's metal golems. The Library takes charge of it's metal vessel, but will continue to serve the Enchanter as a Mage Commander of his golem armies. The Library-commanded golem is no longer mindless, but it does not sleep and it has yet to encounter fear. The Library is able to cast metal arcana depending on it's golem vessel's body."
Enchanter,Infuse Magic Academy,3,100 Gold; 100 Iron; 9 AP,Level 3 Libraries,"The Enchanter enchants the very books in an entire Academy of High Magics and gives them awareness. The collective awareness and lore of the books are then transferred to a more suitable vessel, one of the Enchanter's metal golems. The Academy takes charge of it's metal vessel, but will continue to serve the Enchanter as a Mage Commander of his golem armies. The Academy-commanded golem is no longer mindless, but it does not sleep and it has yet to encounter fear. The Academy is able to cast powerful metal arcana depending on it's golem vessel's body."
Enchanter,Brass Bull,3,500 Gold; 50 Iron; 7 AP,Land ,The Enchanter creates a huge bull of cast brass and gives it false life. The Brass Bull is almost impervious to normal weapons and its breath is scorching flames.
Enchanter,Create Artifact,3,25 Gold; 50 Gems; 2 AP,Anywhere,Creates an Artifact
High Cultist,Lesser Ritual,-,15 Sac,Anywhere,Grants the caster a new first level ritual.
High Cultist,Ritual of Mastery,-,45 Sac,Anywhere,"Grants the caster a new second level ritual. If the caster is currently unable to cast second level rituals, it will be leveled up as well."
High Cultist,Grand Ritual,-,180 Sac,Anywhere,"Grants the caster a new third level ritual. If the caster is currently unable to cast thirs level rituals, it will be leveled up as well."
High Cultist,Call of the Deep,1,10 Sac,near Water ,"This ritual is performed in a coastal area on a clear night when the stars are right. Only then can the Cultist be assured that his sacrifice will appease the beings that will emerge from the Deep. It has of course happened that the beings were not appeased and attacked the Cultist, but this is only the just punishment for misreading the stars."
High Cultist,Ceremony in the Deep,1,10 Sac,Deep Sea,"By performing the summoning ceremony far below the surface of the ocean, the influence of the stars is much lessened and the danger of misreading the stars is miniminzed. When the rutual is performed in the depths only special types of deep dwelling ceatures will respond."
High Cultist,Call Warriors of the Deep,1,25 Sac,near Water ,This is a larger sacrifice that tries to call on the more combat oriented dwellers in the Deep. The ritual is performed in a coastal area on a clear night when the stars are right. But even then the Cultist cannot be sure his sacrifice will appease the beings as the Warriors summoned are often very keen on killing people.
High Cultist,Contact Elder Being,1,30 Sac,Land ,The cultist opens a rift in time or space and contacts an Elder Being. One of a few beings will answer the call.
High Cultist,Astrology,1,5 Sac,Anywhere; -20% cost if cast in Void Gateways; -50% cost if cast in Floating Cube,Allows the Caster to observe the night skies and decide if the stars are right. The alignment of the stars will influence the outcome of the Void summonings.
High Cultist,Greater Ceremony in the Deep,2,40 Sac,Deep Sea,"By performing the summoning ceremony far below the surface of the ocean, the influence of the stars is much lessened and the danger of misreading the stars is miniminzed. When the rutual is performed in the depths only special types of deep dwelling ceatures will respond."
High Cultist,Call Army of the Deep,2,75 Sac,near Water ,This is a larger sacrifice that tries to call on the more combat oriented dwellers in the Deep. The ritual is performed in a coastal area on a clear night when the stars are right. But even then the Cultist cannot be sure his sacrifice will appease the beings as the Warriors summoned are often very keen on killing people.
High Cultist,Contact Old Ones,2,100 Sac,near Water ,"The Old Ones are ancient and powerful beings that live in the depths or maybe even in the Void. Trying to contact them is a risky proposition. It is safest to do it with a large army nearby, because even if the stars are seemingly perfectly aligned there is always a risk that Old Ones will not approve."
High Cultist,Deep Rising,3,100 Sac,near Water ,This large sacrifice calls forth an entire army of beings from the Deep. It is of utmost importance that the stars are right when this ritual is performed or the beings are likely to attack.
High Cultist,Call Outer God,3,200 Sac,near Water ,Calls a being of godlike powers from the Void.
High Cultist (Starspawn),Astrology,1,1 Sac,Anywhere; -20% cost if cast in Void Gateways; -50% cost if cast in Floating Cube,Allows the Caster to observe the night skies and decide if the stars are right. The alignment of the stars will influence the outcome of the Void summonings.
High Cultist (Starspawn),Horoscope,1,5 Sac,Anywhere; -20% cost if cast in Void Gateways; -50% cost if cast in Floating Cube,The Astrologer tries to interpret the skiy to find out about any immediate threats to himself.  Astrology is not an exact science and the perceived threat may not be the one that is about to kill him. This ritual is easier to perform in locations of power that are tied to the Void
High Cultist (Starspawn),Call Elder Beings,1,50 Sac,Land ,The Starspawn opens a rift in time or space and calls forth a group of Elder Beings or a Yithian Sage from the Void.
High Cultist (Starspawn),Send Lesser Horror,2,10 Sac,Anywhere; -50% cost if cast in Floating Cube,"Opens a small rift between the Void and Elysium, just long enough for one or more Horrors to come through. Distances in the Void work in strange ways and the rift can be made to appear on the other side of the world as easily as next to the Caster. However, getting it to appear at exactly the right spot is difficult and some deviations are likely. This ritual is eaier to perform in locations of power that are tied to the Void."
High Cultist (Starspawn),Send Greater Horror,3,50 Sac,Anywhere; -50% cost if cast in Floating Cube,"Opens a major rift between the Void and Elysium, just long enough for a powerful Horror to come through. Distances in the Void work in strange ways and the rift can be made to appear on the other side of the world as easily as next to the Caster. However, getting it to appear at exactly the right spot is difficult and some deviations are likely. This ritual is eaier to perform in locations of power that are tied to the Void."
High Priestess,Lesser Ritual,-,20 Sac,Anywhere,Grants the caster a new first level ritual.
High Priestess,Ritual of Mastery,-,60 Sac,Anywhere,"Grants the caster a new second level ritual. If the caster is currently unable to cast second level rituals, it will be leveled up as well."
High Priestess,Grand Ritual,-,240 Sac,Anywhere,"Grants the caster a new third level ritual. If the caster is currently unable to cast thirs level rituals, it will be leveled up as well."
High Priestess,Lesser Ceremony to Baal,1,10 Sac,Land ,The Priestess performs a blood sacrifice to Baal and in return she will be granted command over some minions of Baal. More powerful minions can appear if the blood sacrifice is performed in a Desert. If cast in a Ziggurat Giants might appear.
High Priestess,Lesser Blood Feast,1,15 Sac,Villages; Smaller Human Settlements,"By sacrificing a few blood slaves the Priestess will attract the attention of Baal and have him drain the life from a substantial part of the Village's population. In return for the sacrifice, Baal will lend the help from some of his ancient champions."
High Priestess,Ceremony to Baal,2,75 Sac,Land ,The Priestess performs a blood sacrifice to Baal and in return she will be granted command over some minions of Baal. More powerful minions can appear if the blood sacrifice is performed in a Desert. If cast in a Ziggurat Giants might appear.
High Priestess,Blood Feast,2,50 Sac,Villages; Larger Human Settlements,"By sacrificing a few blood slaves the Priestess will attract the attention of Baal and have him drain the life from a substantial part of the Village's population. In return for the sacrifice, Baal will lend the help from some of his ancient champions."
High Priestess,Grand Ceremony to Baal,3,100 Sac,Land ,The Priestess performs a large blood sacrifice to Baal and in return she will be granted command over one of Baal's more powerful minions.
High Priestess,Grand Blood Feast,3,150 Sac,Towns; Cities,"By sacrificing a few blood slaves the Priestess will attract the attention of Baal and have him drain the life from a substantial part of the Village's population. In return for the sacrifice, Baal will lend the help from some of his ancient champions."
High Priestess,Banquet for the Dead,3,150 Sac,Towns; Cities,The Priestess of Baal holds a banquet for the deified dead. For three days the living and the shades of the dead share tables and meals. At the eastern end of the table is a throne for the living Priestess and at the western end is an empty throne. Each night the ghostly shapes in the empty seats and throne become more solid. At the final night the Priestess sacrifices the entire town to the dead king who can then manifest in the land of the living as a reawakened god.
High Priestess,Second Sun,3,500 Sac,Mountains,"The Priestess creates a new sun that hangs over a Mountain top. From the burning sun a Solar Disc, an immortal manifestation of Solar Power is born, ready to descend upon Elysium in fiery wrath. The second sun will banish winter from nearby parts of Elysium and anyone going too close is likely to be incinerated by the sun. The second sun can be extinguished if the Mountain top is conquered by armies able to withstand its heat. Should this happen the Solar Disc will be unable to reform, deprived of its immortal essence."
High Priestess,Summon God,3,1000 Sac,Land ,"The Anointed Priestess performs the ultimate sacrifice, by giving herself and one thousand Human girls to Baal. Hopefully this will enable Baal to enter Elysium."
Illusionist,Lesser Ritual,-,10 Gems,Anywhere,Grants the caster a new first level ritual.
Illusionist,Ritual of Mastery,-,30 Gems,Anywhere,"Grants the caster a new second level ritual. If the caster is currently unable to cast second level rituals, it will be leveled up as well."
Illusionist,Grand Ritual,-,90 Gems,Anywhere,"Grants the caster a new third level ritual. If the caster is currently unable to cast thirs level rituals, it will be leveled up as well."
Illusionist,Floating Eye,1,5 Gems,Anywhere,"Creates a large but invisible Floating Eye that reveals everything it passes, including invisible units. The eye will float around the world at random, letting the Illusionist see parts of the world where he may neer have been. Floating Eyes cannot defend tehmselves and can be killed if they encounter an enemy that can detect invisible creatures."
Illusionist,Capture Images,1,10 Gems; 1 Small_Mir,Anywhere,"The Illusionist traps a number of images in an enchanted mirror. An image is an illusion that is so real that it can deal physical harm. Its attacks can be avoided through Magic Resistance. The image is blurry and ethereal and will be destroyed if hit. A Small_Mirror can contain up to 10 images of soldiers or animals. Large Mirrors are more costly to make and can hold up to 50 soldiers or animals. Large mirrors can also be filled with images of monsters, demons or swarms of bugs. Some of the images in the mirror will be released before a battle starts, but most will appear a few at a time for the duration of the battle, or until the mirror is emptied. After the battle the images will return to the host mirror."
Illusionist,Capture Spell,1,5 Gems; 1 Small_Mir,Anywhere,"The Illusionist traps a spell in an enchanted mirror. A Small_Mirror can contain up to 10 castings of a spell, while a Large Mirror can hold up to 50. Large Mirrors release 2 of their bound spells at a time. The Illusionist can only bind Illusionism spells such as 'Fear', 'Blinding Light', and 'Confusion' into the mirror."
Illusionist,Scrying,2,2 Gems; 1 any_empty_Mir,Anywhere,The Illusionist looks into an empty mirror to scry upon distant lands.
Illusionist,Mirror Walk,2,5 Gems; 1 any_empty_Mir,Anywhere,The Illusionist steps into an empty mirror and reappears in another empty mirror anywhere in the world.
Illusionist,Capture Images,2,50 Gems; 2 AP; 1 Lrg_Mir,Anywhere,"The Illusionist traps a number of images in an enchanted mirror. An image is an illusion that is so real that it can deal physical harm. Its attacks can be avoided through Magic Resistance. The image is blurry and ethereal and will be destroyed if hit. A Small_Mirror can contain up to 10 images of soldiers or animals. Large Mirrors are more costly to make and can hold up to 50 soldiers or animals. Large mirrors can also be filled with images of monsters, demons or swarms of bugs. Some of the images in the mirror will be released before a battle starts, but most will appear a few at a time for the duration of the battle, or until the mirror is emptied. After the battle the images will return to the host mirror."
Illusionist,Capture Phantasms,2,25 Gems; 2 AP; 1 Ag_Mirror,Anywhere,"The Illusionist traps a number of phantasms in an enchanted mirror. A phantasm is a manifest illusion that is almost physical. Its attacks are almost real and very difficult to avoid through Magic Resistance. The phantasm is Etheral, but it is almost real and will not be destroyed like a simple illusion. A Silver Mirror can contain up to 5 phantasms of soldiers or animals. Golden Mirrors can hold up to 50 soldiers or animals. Golden Mirrors can also be filled with images of monsters, demons, or swarms of bugs. Some of the images in the mirror will be released before a battle starts, but most will appear a few at a time for the duration of the battle, or until the mirror is emptied. After the battle the phantasms will return to the host mirror"
Illusionist,Capture Spell,2,25 Gems; 2 AP; 1 Lrg_Mir,Anywhere,"The Illusionist traps a spell in an enchanted mirror. A Small_Mirror can contain up to 10 castings of a spell, while a Large Mirror can hold up to 50. Large Mirrors release 2 of their bound spells at a time. The Illusionist can only bind Illusionism spells such as 'Fear', 'Blinding Light', and 'Confusion' into the mirror."
Illusionist,Capture Greater Spell,2,10 Gems; 2 AP; 1 Ag_Mirror,Anywhere,"The Illusionist traps a powerful spell in an enchanted mirror. A Silver Mirror can contain up to 10 castings of a spell, while a Golden Mirror can hold up to 50. Golden Mirrors release 2 of their bound spells at a time. The Illusionist can only bind Illusionism spells such as 'Terror', 'Color Spray', and 'Bewilderment' into the mirror."
Illusionist,Summon Phase Beast,2,25 Gems,Land ,The Illusionist summons a Phase Beast and binds it to his service. Phase Beasts are large predators that phase between this world and the mirror realm. They can displace their own image and are difficult to hit
Illusionist,Mirror Wall,2,25 Gems; 100 Gold; 6 AP,Fortified ,Metal mirrors are put on the wall of a Fortification and enchanted with the magic of Illusionism. Anyone approaching the walls will see an image in the mirror and that image may just step out of the mirror and attack him
Illusionist,Mirror Gate,3,25 Gems; 1 Au_Mir,Anywhere,The Illusionist opens a gate between two Golden Mirrors and moves his entire army through the gate. The Golden Mirror used in the ritual cannot enter itself and will remain where it was before the ritual was cast.
Illusionist,Capture Phantasms,3,75 Gems; 3 AP; 1 Au_Mir,Anywhere,"The Illusionist traps a number of phantasms in an enchanted mirror. A phantasm is a manifest illusion that is almost physical. Its attacks are almost real and very difficult to avoid through Magic Resistance. The phantasm is Etheral, but it is almost real and will not be destroyed like a simple illusion. A Silver Mirror can contain up to 5 phantasms of soldiers or animals. Golden Mirrors can hold up to 50 soldiers or animals. Golden Mirrors can also be filled with images of monsters, demons, or swarms of bugs. Some of the images in the mirror will be released before a battle starts, but most will appear a few at a time for the duration of the battle, or until the mirror is emptied. After the battle the phantasms will return to the host mirror"
Illusionist,Capture Greater Spell,3,50 Gems; 3 AP; 1 Au_Mir,Anywhere,"The Illusionist traps a powerful spell in an enchanted mirror. A Silver Mirror can contain up to 10 castings of a spell, while a Golden Mirror can hold up to 50. Golden Mirrors release 2 of their bound spells at a time. The Illusionist can only bind Illusionism spells such as 'Terror', 'Color Spray', and 'Bewilderment' into the mirror."
Illusionist,Create Simulacrum,3,50 Gems,Anywhere,"The Illusionist creates an almost exact copy of himself called a Simulacrum. The Simulacrum can command armies and cast battle spells just as well as the real Illusionist and the only idfference is that it cannot perform Rituals. If anyone should kill the Illusionist while a Simulacrum is alive, no harm will be done, the Illusionist will simply continue to live on as the Simulacrum instead."
Illusionist,Palace of Everchanging Dreams,3,75 Gems,Crystal Palace,"The Illusionist enchants his Crystal Palace making it flicker in and out of reality. An Illusionist present in the Palace can activate its powers. Every month after activation there is a chance that the Palace and everyone inside its walls will teleport to a Mountain top anywhere in Elysium. If the new location would be considered unfavorable, an Illusionist can reactivate the enchantment and hope for a new and better Mountain top."
Kobold King (Black Kobolds),Lesser Ritual,-,20 Gems,Anywhere,Grants the caster a new first level ritual.
Kobold King (Black Kobolds),Ritual of Mastery,-,50 Gems,Anywhere,"Grants the caster a new second level ritual. If the caster is currently unable to cast second level rituals, it will be leveled up as well."
Kobold King (Black Kobolds),Kobold Hatchery,1,50 Gold; 20 Iron; 3 AP,Greater Mines,"Turns an ordinary Mine into a Kobold lair where Kobolds thrive and reproduce.  Kobold Hatcheries will automatically produce Kobolds of the color corresponding to the Gems found in the Mine. Mines with high Gem incomes produce more Kobolds. It will also enable special recruitment of the corresponding Gem type. Black Kobolds and Stone Drakes can be recruited in all Hatcheries, regardless of Gem type. The Hatchery is protected by simple rock walls for defence."
Kobold King (Black Kobolds),Decay Rune Trap,1,2 Gems; 1 Kobold,Fortified ,"Creates a magical trap outside a Fortification. It curses a single target with Decay, inevitably killing it unless it resists the effect."
Kobold King (Black Kobolds),Summon Dragon,2,50 Gold; 25 Kobold; 50 Gems,Greater Mines,"Summons a Dragon to a Greater Mine. The Dragon demands Gold and consumes several dozens of Kobolds when it arrives. After having settled in the Mine the Dragon will occasionally fly out and attack nearby Settlements, Mines, and Citadels not controlled by the Kobolds."
Kobold King (Black Kobolds),Foretelling,2,1 Gold; 5 Kobold,Anywhere,A few Kobolds and a small amount of Gems are burned on a sacrificial pyre. Through the fumes the Shaman can discern future Kobold Strongholds.
Kobold King (Black Kobolds),Kobold Stronghold,2,50 Gold; 75 Iron; 3 AP,Greater Mines,Upgrades a Kobold Hatchery into a Stronghold with improved defense as well as increased Kobold production. A Kobold Stronghold also produces Elite Kobolds of its corresponding color type.
Kobold King (Blue Kobolds),Lesser Ritual,-,10 SA,Anywhere,Grants the caster a new first level ritual.
Kobold King (Blue Kobolds),Ritual of Mastery,-,25 SA,Anywhere,"Grants the caster a new second level ritual. If the caster is currently unable to cast second level rituals, it will be leveled up as well."
Kobold King (Blue Kobolds),Grand Ritual,-,100 SA,Anywhere,"Grants the caster a new third level ritual. If the caster is currently unable to cast thirs level rituals, it will be leveled up as well."
Kobold King (Blue Kobolds),Kobold Hatchery,1,50 Gold; 20 Iron; 3 AP,Greater Mines,"Turns an ordinary Mine into a Kobold lair where Kobolds thrive and reproduce.  Kobold Hatcheries will automatically produce Kobolds of the color corresponding to the Gems found in the Mine. Mines with high Gem incomes produce more Kobolds. It will also enable special recruitment of the corresponding Gem type. Black Kobolds and Stone Drakes can be recruited in all Hatcheries, regardless of Gem type. The Hatchery is protected by simple rock walls for defence."
Kobold King (Blue Kobolds),Frost Rune Trap,1,1 SA; 1 Kobold,Fortified ,"Creates a magical trap outside a Fortification. It explodes in a small cloud of Frost, killing most human sized targets hit."
Kobold King (Blue Kobolds),Summon Dragon,2,50 Gold; 25 Kobold; 25 SA,Greater Mines,"Summons a Dragon to a Greater Mine. The Dragon demands Gold and consumes several dozens of Kobolds when it arrives. After having settled in the Mine the Dragon will occasionally fly out and attack nearby Settlements, Mines, and Citadels not controlled by the Kobolds."
Kobold King (Blue Kobolds),Foretelling,2,1 SA; 5 Kobold,Anywhere,A few Kobolds and a small amount of Gems are burned on a sacrificial pyre. Through the fumes the Shaman can discern future Kobold Strongholds.
Kobold King (Blue Kobolds),Kobold Stronghold,2,50 Gold; 75 Iron; 3 AP,Greater Mines,Upgrades a Kobold Hatchery into a Stronghold with improved defense as well as increased Kobold production. A Kobold Stronghold also produces Elite Kobolds of its corresponding color type.
Kobold King (Blue Kobolds),Summon Elder Dragon,3,200 Gold; 200 Kobold; 50 SA,Greater Mines,"Summons an Elder Dragon to a Greater Mine. If a lesser Dragon is already present it will be driven away as the Elder Dragon takes its place. The Dragon demands large amounts of Gold and Consumes hundreds of Kolbolds when it arrives. After having settled in themine the Dragon will occasionally fly out and attack nearby Settlements, Mines, and Citadels not controlled by the Kobolds."
Kobold King (Green Kobolds),Lesser Ritual,-,10 EM,Anywhere,Grants the caster a new first level ritual.
Kobold King (Green Kobolds),Ritual of Mastery,-,25 EM,Anywhere,"Grants the caster a new second level ritual. If the caster is currently unable to cast second level rituals, it will be leveled up as well."
Kobold King (Green Kobolds),Grand Ritual,-,100 EM,Anywhere,"Grants the caster a new third level ritual. If the caster is currently unable to cast thirs level rituals, it will be leveled up as well."
Kobold King (Green Kobolds),Kobold Hatchery,1,50 Gold; 20 Iron; 3 AP,Greater Mines,"Turns an ordinary Mine into a Kobold lair where Kobolds thrive and reproduce.  Kobold Hatcheries will automatically produce Kobolds of the color corresponding to the Gems found in the Mine. Mines with high Gem incomes produce more Kobolds. It will also enable special recruitment of the corresponding Gem type. Black Kobolds and Stone Drakes can be recruited in all Hatcheries, regardless of Gem type. The Hatchery is protected by simple rock walls for defence."
Kobold King (Green Kobolds),Poison Gas Trap,1,1 EM; 1 Kobold,Fortified ,Creates a magical trap outside a Fortification. It explodes in a sizable Poison Cloude that will likely kill most human sized targets hit.
Kobold King (Green Kobolds),Summon Dragon,2,50 Gold; 25 Kobold; 25 EM,Greater Mines,"Summons a Dragon to a Greater Mine. The Dragon demands Gold and consumes several dozens of Kobolds when it arrives. After having settled in the Mine the Dragon will occasionally fly out and attack nearby Settlements, Mines, and Citadels not controlled by the Kobolds."
Kobold King (Green Kobolds),Foretelling,2,1 EM; 5 Kobold,Anywhere,A few Kobolds and a small amount of Gems are burned on a sacrificial pyre. Through the fumes the Shaman can discern future Kobold Strongholds.
