SCHOOL,SPELL,LEVEL,RANGE,MAGIC,AFFECTS,NO AFFECT,IGNORE AR,PRIMARY,AOE,NEGATION,xEFFECT,xAOE,xNEGATION,SPECIAL,SLOW,SCATTER,DESCRIPTION
Defilement,Dehydration,1,8,Y,-,Undead; Lifeless,-,Exhaustion,Single,STR 2d4,-,-,-,-,-,-,Exhausted units get -1 to Strength and has a chance of not moving.  Exhausted units that attack have a 50% chance of taking 1 point of damage.  Disappears after battle.
Defilement,Fear,1,8,Y,-,-,Y,Fear 1-12,Single,(gd) MR 2d6,-,-,-,-,-,-,"Fear Damage is applied against Morale. If the damage roll from fear exceeds the morale of the target, the target panics and runs away"
Defilement,Shadowform,1,6,Y,-,-,-,Etherealness,Single,-,-,-,-,-,-,-,75% chance of taking no Damage from non-magical attacks
Defilement,Strength Sap,1,8,Y,-,Undead,-,Weakness,Burst 3,(gd) MR 2d6,-,-,-,-,-,-,Weakened units have their Strength and Damage reduced by 2
Defilement,Finger of Death,2,8,Y,-,Lifeless,Y,Magic 1-999,Single,-,Paralyzation,-,STR 2d4,-,-,-,Paralyzed units are immobilized and cannot do anything until the effect wears off. (10% chance each combat round)
Defilement,Lashes of Darkness,2,6,Y,-,-,Y,Magic 1-5,5 strikes,(gd) MR 2d6,Weakness,-,MR 2d4 (reg),-,-,-,Weakened units have their Strength and Damage reduced by 2
Defilement,Scourging Wind,2,8,Y,-,Undead; Lifeless,-,Exhaustion,Burst 25,STR 2d4,-,-,-,-,-,-,Exhausted units get -1 to Strength and has a chance of not moving.  Exhausted units that attack have a 50% chance of taking 1 point of damage.  Disappears after battle.
Defilement,Terror,2,10,Y,Only Enemy,-,Y,Fear 1-8,Burst 25,(gd) MR 2d6,-,-,-,-,-,-,"Fear Damage is applied against Morale. If the damage roll from fear exceeds the morale of the target, the target panics and runs away"
Defilement,Weakness,2,8,Y,-,Undead; Lifeless,-,Weakness,Burst 25,(gd) MR 2d6,-,-,-,-,-,-,Weakened units have their Strength and Damage reduced by 2
Defilement,Chill of the Dead,3,10,Y,-,Undead (xEffect only); Lifeless (xEffect only),Y,Cold 1-13,Burst 25,-,Weakness,-,(gd) MR 2d6,-,-,-,Weakened units have their Strength and Damage reduced by 2
Defilement,Desert Storm,3,0,Y,-,Undead; Lifeless,-,Exhaustion,Entire Battlefield,STR 2d4,-,-,-,-,-,-,Exhausted units get -1 to Strength and has a chance of not moving.  Exhausted units that attack have a 50% chance of taking 1 point of damage.  Disappears after battle.
Defilement,Symbol of Dread,3,10,Y,Only Enemy,-,Y,Magic 1-2,Burst 100,MR 2d4,Fear 1-8,-,(gd) MR 2d6,-,-,-,"Fear Damage is applied against Morale. If the damage roll from fear exceeds the morale of the target, the target panics and runs away"
Defilement,Symbol of Unlife,3,10,Y,Only Enemy,-,Y,Magic 1-2,Burst 100,MR 2d4,-,-,-,Reanimates victim,-,-,"Turns unit into Soulless, if killed"
Divine Magic,Banish,1,6,Y,-,-,-,Banish,-,MR 2d4,-,-,-,-,-,-,
Divine Magic,Conversion,1,5,Y,Humans; Hoburghers,Mindless,-,Charm,Single,MR 2d4; MRL 2d4,-,-,-,-,-,-,Charmed units immediately switch sides and attack their former comrades
Divine Magic,Lesser Smite,1,5,Y,-,-,Y,Fire 1-13,Single,MR 2d4,-,-,-,-,-,-,
Divine Magic,Resist Magic,1,8,Y,Only Friendly,-,-,Magic Resistance +2,Single,-,-,-,-,-,-,-,
Divine Magic,Saving Grace,1,8,Y,Only Friendly,-,-,Twist Fate,Single,-,-,-,-,-,-,-,The Twist Fate effect will prevent the first successful attack against the unit
Divine Magic,Greater Banishment,2,6,Y,-,-,-,Banish,3 strikes,(gd) MR 2d6,-,-,-,-,-,-,
Divine Magic,Mass Conversion,2,5,Y,Humans; Hoburghers,Mindless,-,Charm,Burst 9,MR 2d4; MRL 2d4,-,-,-,-,-,-,Charmed units immediately switch sides and attack their former comrades
Divine Magic,Mercy,2,8,Y,Only Friendly,-,-,Twist Fate,Burst 9,-,-,-,-,-,Y,-,The Twist Fate effect will prevent the first successful attack against the unit
Divine Magic,Smite,2,5,Y,-,-,Y,Fire 1-50,Single,(gd) MR 2d6,-,-,-,-,-,-,
Divine Magic,Divine Intervention,3,8,Y,Only Friendly,-,-,Twist Fate,All Friends,-,-,-,-,-,Y,-,The Twist Fate effect will prevent the first successful attack against the unit
Divine Magic,Divine Word,3,8,Y,-,-,-,Banish,Burst 9,(gd) MR 2d6,-,-,-,-,-,-,
Divine Magic,Heavenly Strike,3,10,Y,-,-,Y,Fire 1-999,Single,(gd) MR 2d6,-,-,-,-,-,-,
Divine Magic,True Faith,3,5,Y,Humans; Hoburghers,Mindless,-,Charm,Burst 25,MR 2d4; MRL 2d4,-,-,-,-,-,-,Charmed units immediately switch sides and attack their former comrades
Druidism,Barkskin,1,8,Y,-,Ethereal,-,Armor +1,Burst 5,-,-,-,-,-,-,-,
Druidism,Befriend Animal,1,5,Y,Only Animals; Only Enemy,Mindless,-,Charm,Single,(ez) MR 1d5,-,-,-,-,-,-,Charmed units immediately switch sides and attack their former comrades
Druidism,Poison Arrow,1,5,-,-,-,xEffect only,Pierce 1-6,Single,-,Poison 1-10,Single,-,-,-,-,
Druidism,Poison Vine,1,6,-,-,-,xEffect only,Entanglement,Single,-,Poison 1-5,Single,-,-,-,-,Entangled units are immobilized until they pass a strength check vs 1d8. Passing a strength check vs 1d5+5 will have the unit break free and attack in the same round.
Druidism,Tangle Vine,1,6,-,-,Flying/Floating,-,Entanglement,Single,-,-,-,-,-,-,-,Entangled units are immobilized until they pass a strength check vs 1d8. Passing a strength check vs 1d5+5 will have the unit break free and attack in the same round.
Druidism,Vine Arrow,1,5,-,-,Flying/Floating (xEffect Only),-,Pierce 1-6,Single,-,Entanglement,-,-,-,-,-,Entangled units are immobilized until they pass a strength check vs 1d8. Passing a strength check vs 1d5+5 will have the unit break free and attack in the same round.
Druidism,Animate Tree,2,6,Y,-,-,-,Animate Tree,Single,-,-,-,-,-,-,-,
Druidism,Briar Cage,2,6,Y,-,-,-,Entanglement,Burst 9,-,-,-,-,-,-,-,Entangled units are immobilized until they pass a strength check vs 1d8. Passing a strength check vs 1d5+5 will have the unit break free and attack in the same round.
Druidism,Command Beasts,2,6,Y,Only Animals; Only Enemy,Mindless,-,Charm,Burst 9,(ez) MR 1d5,-,-,-,-,-,-,Charmed units immediately switch sides and attack their former comrades
Druidism,Curse of Wood,2,10,Y,-,Lifeless,-,-,Burst 25,MR 2d4,-,-,-,Change into Tree,-,-,Unit turns into Tree
Druidism,Domestication,2,5,Y,Only Animals,Mindless,-,Charm,3 strikes,(ez) MR 1d5,-,-,-,-,-,-,Charmed units immediately switch sides and attack their former comrades
Druidism,Oak Army,2,8,Y,Only Friendly,Ethereal,-,Armor +1,Burst 25,-,-,-,-,-,-,-,
Druidism,Poison Vines,2,6,-,Only Enemy,-,xEffect only,Entanglement,Burst 3,-,Poison 1-5,Single,-,-,-,-,Entangled victim cannot do anything until it breaks free by making a successful Strenght test vs 1d14
Druidism,Shooting Thorns,2,6,-,-,-,xEffect only,Pierce 1-2,7 strikes,-,Poison 1-10,Single,-,-,-,-,
Druidism,Animate Forest,3,0,Y,-,-,-,Animate Forest,Entire Battlefield,-,-,-,-,-,Y,-,
Druidism,Earthquake,3,0,-,-,Flying/Floating,-,Blunt 1-5,Entire Battlefield,-,Stun,-,STR 2d4,x5 damage vs Walls (Primary only),Y,-,Stunned units are immobilized and cannot do anything until they recover. Stunned units have a 75% chance of recovering every round
Druidism,Lord of the Wild,3,10,Y,Only Animals; Only Enemy,Mindless,-,Charm,Burst 25,(ez) MR 1d5,-,-,-,-,-,-,Charmed units immediately switch sides and attack their former comrades
Druidism,Poison Vine Growth,3,8,-,Only Enemy,-,xEffect only,Entanglement,Burst 25,-,Poison 1-5,Single,-,-,Y,-,Entangled victim cannot do anything until it breaks free by making a successful Strenght test vs 1d14
Druidism,Wild Growth,3,10,Y,Only Enemy,-,-,Entanglement,Burst 100,STR 2d4,-,-,-,-,Y,-,Entangled victim cannot do anything until it breaks free by making a successful Strenght test vs 1d14
Dwarf Magic,Cold Resistance,1,6,Y,-,-,-,Cold Resistance (100),Burst 5,-,-,-,-,-,-,-,Cold Damage reduced by 100%
Dwarf Magic,Confusion,1,8,Y,-,Mindless,-,Confusion,Single,MR 2d4,-,-,-,-,-,-,Confused units do nothing (50% chance) or switch sides (10% chance) or move in a random direction instead of advancing (75%)
Dwarf Magic,Earth Grip,1,6,Y,-,Flying/Floating,-,Earth Grip,Single,-,-,-,-,-,-,-,Earth gripped units are immobilized until they pass a strength check vs 2d6. Passing a strength check vs 1d5+7 will have the unit break free and attack in the same round
Dwarf Magic,Fire Resistance,1,6,Y,-,-,-,Fire Resistance (100),Burst 5,-,-,-,-,-,-,-,Fire Damage reduced by 100%
Dwarf Magic,Flame Burst,1,6,Y,-,-,-,Fire 1-8,Single,-,-,-,-,-,-,-,
Dwarf Magic,Fortitude,1,8,Y,Only Friendly,Ethereal,-,Armor +1,Burst 5,-,-,-,-,-,-,-,
Dwarf Magic,Iron Skin,1,8,Y,-,Ethereal,-,Armor +2,Single,-,-,-,-,-,-,-,
Dwarf Magic,Magic Stones,1,6,Y,-,-,-,Blunt 1-6,2 strikes,-,-,-,-,-,-,-,
Dwarf Magic,Tremor,1,6,-,-,Flying/Floating,-,Blunt 1-2,Burst 5,-,Stun,-,STR 2d4,x5 damage vs Walls (Primary only),-,-,Stunned units are immobilized and cannot do anything until they recover. Stunned units have a 75% chance of recovering every round
Dwarf Magic,Army of Stone,2,8,Y,Only Friendly,Ethereal,-,Armor +1,Burst 25,-,-,-,-,-,-,-,
Dwarf Magic,Earth Meld,2,6,Y,-,-,-,Earth Grip,Burst 9,-,-,-,-,-,-,-,Earth gripped units are immobilized until they pass a strength check vs 2d6. Passing a strength check vs 1d5+7 will have the unit break free and attack in the same round
Dwarf Magic,Eruption,2,6,-,-,Flying/Floating,-,Blunt 1-9,Burst 5,-,Stun,-,STR 2d4,x5 damage vs Walls (Primary only),-,-,Stunned units are immobilized and cannot do anything until they recover. Stunned units have a 75% chance of recovering every round
Dwarf Magic,Fire Ward,2,6,Y,-,-,-,Fire Resistance (100),Burst 25,-,-,-,-,-,-,-,Fire Damage reduced by 100%
Dwarf Magic,Runes of Confusion,2,8,Y,-,Mindless,-,Confusion,Burst 9,-,-,-,-,-,-,-,Confused units do nothing (50% chance) or switch sides (10% chance) or move in a random direction instead of advancing (75%)
Dwarf Magic,Smokeless Flame,2,8,Y,-,-,-,Fire 1-25,Single,-,-,-,-,-,-,-,
Dwarf Magic,Soldiers of Steel,2,8,Y,Only Friendly,Ethereal,-,Armor +2,Burst 5,-,-,-,-,-,-,-,
Dwarf Magic,Winter Ward,2,6,Y,-,-,-,Cold Resistance (100),Burst 25,-,-,-,-,-,-,-,Cold Damage reduced by 100%
Dwarf Magic,Army of Steel,3,8,Y,Only Friendly,Ethereal,-,Armor +2,Burst 25,-,-,-,-,-,-,-,
Dwarf Magic,Chasm,3,6,Y,-,Flying/Floating; Giant sized,Y,Blunt 1-100,Crack 15,-,Earth Grip,-,-,-,-,-,Earth gripped units are immobilized until they pass a strength check vs 2d6. Passing a strength check vs 1d5+7 will have the unit break free and attack in the same round
Dwarf Magic,Earthquake,3,0,-,-,Flying/Floating,-,Blunt 1-5,Entire Battlefield,-,Stun,-,STR 2d4,x5 damage vs Walls (Primary only),Y,-,Stunned units are immobilized and cannot do anything until they recover. Stunned units have a 75% chance of recovering every round
Dwarf Magic,Flame Pillars,3,6,Y,-,-,-,Fire 1-25,3 strikes,-,-,-,-,-,-,-,
Dwarf Magic,Legion of Stone,3,8,Y,Only Friendly,Ethereal,-,Armor +1,All Friends,-,-,-,-,-,-,-,
Dwarf Magic,Maws of the Earth,3,6,Y,-,Flying/Floating; Giant sized,Y,Blunt 1-100,Crack 5,-,Earth Grip; Fire 1-8,-,-,x5 damage vs Walls (Primary only),-,-,Earth gripped units are immobilized until they pass a strength check vs 2d6. Passing a strength check vs 1d5+7 will have the unit break free and attack in the same round
Dwarf Magic,Soldiers of Gold,3,8,Y,Only Friendly,Ethereal,-,"Fire Resistance (100), Armor +2",Burst 10,-,-,-,-,-,-,-,Fire Damage reduced by 100%
Elemental Magic,Combustion,1,6,Y,-,-,-,Burn,4 strikes,-,-,-,-,Burn Forest,-,-,"Burning units will take fire damage each round. Large units take more damage than small units. Chance to put out fire each round, greater chance with Fire Resist; Grants Burn Forest ability"
Elemental Magic,Dehydration,1,8,Y,-,Undead; Lifeless,-,Exhaustion,Single,STR 2d4,-,-,-,-,-,-,Exhausted units get -1 to Strength and has a chance of not moving.  Exhausted units that attack have a 50% chance of taking 1 point of damage.  Disappears after battle.
Elemental Magic,Earth Grip,1,6,Y,-,Flying/Floating,-,Earth Grip,Single,-,-,-,-,-,-,-,Earth gripped units are immobilized until they pass a strength check vs 2d6. Passing a strength check vs 1d5+7 will have the unit break free and attack in the same round
Elemental Magic,Gust of Wind,1,8,-,-,-,-,Blunt 1-3,Burst 5,-,Stun,-,STR 2d4,-,-,-,Stunned units are immobilized and cannot do anything until they recover. Stunned units have a 75% chance of recovering every round
Elemental Magic,Earth Meld,2,6,Y,-,-,-,Earth Grip,Burst 9,-,-,-,-,-,-,-,Earth gripped units are immobilized until they pass a strength check vs 2d6. Passing a strength check vs 1d5+7 will have the unit break free and attack in the same round
Elemental Magic,Fireball,2,6,Y,-,-,-,Fire 1-15,Burst 5,-,-,-,-,Burn Forest,-,-,Grants Burn Forest ability
Elemental Magic,Orb Lightning,2,6,Y,-,-,Y,Shock 1-8,Burst 15,-,Stun,-,MR 2d4 (reg),-,-,-,Stunned units are immobilized and cannot do anything until they recover. Stunned units have a 75% chance of recovering every round
Elemental Magic,Sailor's Death,2,6,Y,-,Lifeless; Water Breathers,xEffect only,Stun,Single,(gd) MR 2d6,Magic 1-999,Single,(ez) MR 1d5,-,-,-,Stunned units are immobilized and cannot do anything until they recover. Stunned units have a 75% chance of recovering every round
Elemental Magic,Storm Wind,2,10,-,-,-,-,Blunt 1-4,Burst 25,-,Stun,-,STR 2d4,-,-,-,Stunned units are immobilized and cannot do anything until they recover. Stunned units have a 75% chance of recovering every round
Elemental Magic,Torrent of Water,2,6,Y,-,-,-,Blunt 1-6,Burst 5,-,Stun,-,STR 2d4,-,-,-,Stunned units are immobilized and cannot do anything until they recover. Stunned units have a 75% chance of recovering every round
Elemental Magic,Army of Waves,3,3,Y,-,-,-,Summon,-,-,-,-,-,1-9 Lesser Waters,Y,-,A maximum of about 25 Lesser Waters can be summoned in a single battle
Elemental Magic,Call Lightning,3,10,Y,-,-,Y,Shock 1-8,12 strikes,-,Stun,-,MR 2d4 (reg),-,-,-,Stunned units are immobilized and cannot do anything until they recover. Stunned units have a 75% chance of recovering every round
Elemental Magic,Earthquake,3,0,-,-,Flying/Floating,-,Blunt 1-5,Entire Battlefield,-,Stun,-,STR 2d4,x5 damage vs Walls (Primary only),Y,-,Stunned units are immobilized and cannot do anything until they recover. Stunned units have a 75% chance of recovering every round
Elemental Magic,Flame Storm,3,10,Y,-,-,-,Fire 1-7,Burst 50,-,-,-,-,Burn Forest,-,-,Grants Burn Forest ability
Enchantment,Fire Resistance,1,6,Y,-,-,-,Fire Resistance (100),Burst 5,-,-,-,-,-,-,-,Fire Damage reduced by 100%
Enchantment,Fire Shield,1,6,Y,-,-,-,Fire Shield (3),Single,-,-,-,-,-,-,-,"Any enemy attacking this unit in melee will take some fire Damage; They may also be set on fire, suffering more fire Damage every turn until the fire goes out; Units with Fire Aura (6) or greater will automatically set forest and jungle squares on fire upon entering them"
Enchantment,Fortitude,1,8,Y,Only Friendly,Ethereal,-,Armor +1,Burst 5,-,-,-,-,-,-,-,
Enchantment,Ironskin,1,8,Y,-,Ethereal,-,Armor +2,Single,-,-,-,-,-,-,-,
Enchantment,Luck,1,8,Y,Only Friendly,-,-,Luck,Single,-,-,-,-,-,-,-,50% chance of not taking any Damage from an attack
Enchantment,Sleep,1,8,Y,Only Enemy,Mindless,-,Sleep,2 strikes,(gd) MR 2d6,-,-,-,-,-,-,Sleeping units are immobilized. The unit sleeps until it is hit or awakens on its own. (5% chance each combat round)
Enchantment,Strength,1,8,Y,-,-,-,Strength +2,Burst 3,-,-,-,-,-,-,-,
Enchantment,Toughness,1,8,Y,-,Ethereal,-,Slash/Blunt/ Pierce Resistance,Single,-,-,-,-,-,-,-,"Half Damage from Slashing, Blunt, and Piercing weapons"
Enchantment,Army of Stone,2,8,Y,Only Friendly,Ethereal,-,Armor +1,Burst 25,-,-,-,-,-,-,-,
Enchantment,Enchanted Sleep,2,10,Y,Only Enemy,Mindless,-,Sleep,Burst 25,MR 2d4,-,-,-,-,-,-,Sleeping units are immobilized. The unit sleeps until it is hit or awakens on its own. (5% chance each combat round)
Enchantment,Fire Ward,2,6,Y,-,-,-,Fire Resistance (100),Burst 25,-,-,-,-,-,-,-,Fire Damage reduced by 100%
Enchantment,Fortune,2,8,Y,Only Friendly,-,-,Luck,Burst 9,-,-,-,-,-,-,-,50% chance of not taking any Damage from an attack
Enchantment,Herculean Soldiers,2,8,Y,Only Friendly,Ethereal,-,Strength +2,Burst 25,-,-,-,-,-,-,-,
Enchantment,Indomitability,2,8,Y,Only Friendly,Ethereal,-,Slash/Blunt/ Pierce Resistance,Burst 5,-,-,-,-,-,-,-,"Half Damage from Slashing, Blunt, and Piercing weapons"
Enchantment,Soldiers of Flame,2,6,Y,-,-,-,Fire Shield (3),Burst 5,-,-,-,-,-,-,-,"Any enemy attacking this unit in melee will take some fire Damage; They may also be set on fire, suffering more fire Damage every turn until the fire goes out; Units with Fire Aura (6) or greater will automatically set forest and jungle squares on fire upon entering them"
Enchantment,Soldiers of Steel,2,8,Y,Only Friendly,Ethereal,-,Armor +2,Burst 5,-,-,-,-,-,-,-,
Enchantment,Thunder Ward,2,6,Y,-,-,-,Shock Resistance*,Burst 25,-,-,-,-,-,-,-,Shock Damage reduced by (x)%*
Enchantment,Venom Ward,2,6,Y,-,-,-,Poison Resistance*,Burst 25,-,-,-,-,-,-,-,Poison Damage reduced by x%*
Enchantment,Weakness,2,8,Y,-,Undead; Lifeless,-,Weakness,Burst 25,(gd) MR 2d6,-,-,-,-,-,-,Weakened units have their Strength and Damage reduced by 2
Enchantment,Winter Ward,2,6,Y,-,-,-,Cold Resistance (100),Burst 25,-,-,-,-,-,-,-,Cold Damage reduced by 100%
Enchantment,Army of Flames,3,8,Y,-,-,-,Fire Shield (3),Burst 25,-,-,-,-,-,-,-,"Any enemy attacking this unit in melee will take some fire Damage; They may also be set on fire, suffering more fire Damage every turn until the fire goes out; Units with Fire Aura (6) or greater will automatically set forest and jungle squares on fire upon entering them"
Enchantment,Army of Steel,3,8,Y,Only Friendly,Ethereal,-,Armor +2,Burst 25,-,-,-,-,-,-,-,
Enchantment,Battle Fortune,3,8,Y,Only Friendly,-,-,Luck,Burst 25,-,-,-,-,-,-,-,50% chance of not taking any Damage from an attack
Enchantment,Invulnerability,3,0,Y,-,-,-,Non-Magical Invulnerability,Single,-,-,-,-,-,-,-,"A unit with this ability cannot be harmed by Slash, Pierce, or Blunt damage unless it is magical"
Enchantment,Legion of Stone,3,8,Y,Only Friendly,Ethereal,-,Armor +1,All Friends,-,-,-,-,-,-,-,
Enchantment,Slumbering Army,3,0,Y,Only Enemy,Mindless,-,Sleep,Entire Battlefield,MR 2d4,-,-,-,-,Y,-,Sleeping units are immobilized. The unit sleeps until it is hit or awakens on its own. (5% chance each combat round)
Famine Magic,Summon Crows,1,10,Y,-,-,-,Summon,-,-,-,-,-,1-5 Murder of Crows,-,-,A maximum of about 200 Murder of Crows can be summoned in a single battle
Famine Magic,Summon Mantis,2,E,Y,-,-,-,Summon,-,-,-,-,-,1-5 Giant Mantis,-,-,A maximum of about 25 Giant Mantis can be summoned in a single battle; CANNOT be cast at sea
Famine Magic,Starvation,3,8,Y,-,Lifeless,-,"Weakness, Decay",Burst 25,MR 2d4,-,-,-,-,-,-,"Weakened units have their Strength and Damage reduced by 2; Units suffering from Decay take 1 point of Damage per combat round until they die. Decay can usually not be survived, but after the battle has ended the effect will run out eventually"
Forest Magic,Befriend Animal,1,5,Y,Only Animals; Only Enemy,Mindless,-,Charm,Single,(ez) MR 1d5,-,-,-,-,-,-,Charmed units immediately switch sides and attack their former comrades
Forest Magic,Confusion,1,8,Y,-,Mindless,-,Confusion,Single,MR 2d4,-,-,-,-,-,-,Confused units do nothing (50% chance) or switch sides (10% chance) or move in a random direction instead of advancing (75%)
Forest Magic,Fortitude,1,8,Y,Only Friendly,Ethereal,-,Armor +1,Burst 5,-,-,-,-,-,-,-,
Forest Magic,Heal,1,8,Y,Only Friendly,Lifeless,Y,Heal 1-5,Single,-,-,-,-,Increased Healing,-,-,CANNOT heal above half of full HP. Grants increased healing rate for all non-inanimate beings in army
Forest Magic,Magic Stones,1,6,Y,-,-,-,Blunt 1-6,2 strikes,-,-,-,-,-,-,-,
Forest Magic,Sleep,1,8,Y,Only Enemy,Mindless,-,Sleep,2 strikes,(gd) MR 2d6,-,-,-,-,-,-,Sleeping units are immobilized. The unit sleeps until it is hit or awakens on its own. (5% chance each combat round)
Forest Magic,Strength,1,8,Y,-,-,-,Strength +2,Burst 3,-,-,-,-,-,-,-,
Forest Magic,Summon Wolf,1,E,Y,-,-,-,Summon,-,-,-,-,-,1 Wolf,-,-,A maximum of about 40 Wolves can be summoned in a single battle
Forest Magic,Tangle Vine,1,6,-,-,Flying/Floating,-,Entanglement,Single,-,-,-,-,-,-,-,Entangled victim cannot do anything until it breaks free by making a successful Strenght test vs 1d14
Forest Magic,Charm,2,5,Y,-,Mindless,-,Charm,Single,MR 2d4,-,-,-,-,-,-,Charmed units immediately switch sides and attack their former comrades
Forest Magic,Cloud of Confusion,2,8,Y,-,Mindless,-,Confusion,Burst 9,MR 2d4,-,-,-,-,-,-,Confused units do nothing (50% chance) or switch sides (10% chance) or move in a random direction instead of advancing (75%)
Forest Magic,Command Beasts,2,6,Y,Only Animals; Only Enemy,Mindless,-,Charm,Burst 9,(ez) MR 1d5,-,-,-,-,-,-,Charmed units immediately switch sides and attack their former comrades
Forest Magic,Curse of the Frog Prince,2,4,Y,Only Enemy,Lifeless,-,Polymorph,Single,MR 2d4,-,-,-,Change into Frog,-,-,Unit turns into a Frog
Forest Magic,Enchanted Sleep,2,10,Y,Only Enemy,Mindless,-,Sleep,Burst 25,MR 2d4,-,-,-,-,-,-,Sleeping units are immobilized. The unit sleeps until it is hit or awakens on its own. (5% chance each combat round)
Forest Magic,Greater Healing,2,8,Y,Only Friendly,Lifeless,Y,Heal 1-3,Burst 9,-,-,-,-,Increased Healing,-,-,CANNOT heal above half of full HP. Grants increased healing rate for all non-inanimate beings in army
Forest Magic,Summon Murder of Crows,2,10,Y,-,-,-,Summon,-,-,-,-,-,1-3 Murder of Crows,-,-,A maximum of about 200 Murder of Crows can be summoned in a single battle
Forest Magic,Summon Wolves,2,E,Y,-,-,-,Summon,-,-,-,-,-,1-3 Wolves,-,-,A maximum of about 40 Wolves can be summoned in a single battle
Forest Magic,Animate Forest,3,0,Y,-,-,-,Animate Forest,Entire Battlefield,-,-,-,-,-,Y,-,
Forest Magic,Animate Tree,3,6,Y,-,-,-,Animate Tree,Single,-,-,-,-,-,-,-,
Forest Magic,Army of Crows,3,10,Y,-,-,-,Summon,-,-,-,-,-,1-13 Murder of Crows,-,-,A maximum of about 200 Murder of Crows can be summoned in a single battle
Forest Magic,Army of Wolves,3,E,Y,-,-,-,Summon,-,-,-,-,-,1-10 Wolves,-,-,A maximum of about 40 Wolves can be summoned in a single battle
Forest Magic,Enchanting Voice,3,10,Y,Only Enemy,Mindless,-,Sleep,Burst 100,MR 2d4,-,-,-,-,-,-,Sleeping units are immobilized. The unit sleeps until it is hit or awakens on its own. (5% chance each combat round)
Forest Magic,Mist of Confusion,3,10,Y,-,Mindless,-,Confusion,Burst 25,MR 2d4,-,-,-,-,-,-,Confused units do nothing (50% chance) or switch sides (10% chance) or move in a random direction instead of advancing (75%)
Forest Magic,Wild Growth,3,10,Y,Only Enemy,-,-,Entanglement,Burst 100,STR 2d4,-,-,-,-,Y,-,Entangled victim cannot do anything until it breaks free by making a successful Strenght test vs 1d14
Fortune Magic,Lucky Strike,1,8,Y,Only Friendly,-,-,Lucky Strike,Single,-,-,-,-,-,-,-,x2 Damage on next strike
Fortune Magic,Promise of Fortune,2,8,Y,Only Friendly,-,-,Twist Fate,Burst 9,-,-,-,-,-,Y,-,The Twist Fate effect will prevent the first successful attack against the unit
Fortune Magic,Guided by Fate,3,8,Y,Only Friendly,-,-,Lucky Strike,All Friends,-,-,-,-,-,Y,-,x2 Damage on next strike
Foul Magic,Black Cloud,1,8,Y,-,Lifeless,-,Disease,Burst 5,MR 2d4,-,-,-,-,-,-,"Diseased units have their Strength lowered by one point immediately, but take no extra Damage in combat. After combat, they have a 50% chance of taking 1 point of Damage every month until they die."
Foul Magic,Decay,1,8,Y,-,-,-,Decay,Single,MR 2d4,-,-,-,-,-,-,"Units suffering from Decay take 1 point of Damage per combat round until they die. Decay can usually not be survived, but after the battle has ended the effect will run out eventually"
Foul Magic,Disease,1,8,Y,-,Lifeless,-,Disease,Single,(gd) MR 2d6,-,-,-,-,-,-,"Diseased units have their Strength lowered by one point immediately, but take no extra Damage in combat. After combat, they have a 50% chance of taking 1 point of Damage every month until they die."
Foul Magic,Gift of Death,2,10,Y,-,-,-,"Disease, Decay",Single,(gd) MR 2d6,-,-,-,-,-,-,"Diseased units have their Strength lowered by one point immediately, but take no extra Damage in combat. After combat, they have a 50% chance of taking 1 point of Damage every month until they die; Units suffering from Decay take 1 point of Damage per combat round until they die. Decay can usually not be survived, but after the battle has ended the effect will run out eventually "
Foul Magic,Plague,2,10,Y,Only Enemy,Lifeless,-,Disease,Burst 25,MR 2d4,-,-,-,-,-,-,"Diseased units have their Strength lowered by one point immediately, but take no extra Damage in combat. After combat, they have a 50% chance of taking 1 point of Damage every month until they die."
Foul Magic,Wither,2,8,Y,-,-,-,Decay,Burst 5,(gd) MR 2d6,-,-,-,-,-,-,"Units suffering from Decay take 1 point of Damage per combat round until they die. Decay can usually not be survived, but after the battle has ended the effect will run out eventually"
Foul Magic,Black Death,3,0,Y,-,Lifeless,-,Disease,Entire Battlefield,MR 2d4,-,-,-,-,Y,-,"Diseased units have their Strength lowered by one point immediately, but take no extra Damage in combat. After combat, they have a 50% chance of taking 1 point of Damage every month until they die."
Foul Magic,Symbol of Death,3,10,Y,Only Enemy,Lifeless,Y,Magic 1-2,Burst 100,MR 2d4,Disease,-,MR 2d4 (reg),-,-,-,"Diseased units have their Strength lowered by one point immediately, but take no extra Damage in combat. After combat, they have a 50% chance of taking 1 point of Damage every month until they die."
Foul Magic,Tendrils of Death,3,8,Y,-,Lifeless,-,"Disease, Decay, Weakness",7 strikes,(gd) MR 2d6,-,-,-,-,-,-,"Diseased units have their Strength lowered by one point immediately, but take no extra Damage in combat. After combat, they have a 50% chance of taking 1 point of Damage every month until they die; Units suffering from Decay take 1 point of Damage per combat round until they die. Decay can usually not be survived, but after the battle has ended the effect will run out eventually; Weakened units have their Strength and Damage reduced by 2"
Frost Magic,Cold Resistance,1,6,Y,-,-,-,Cold Resistance (100),Burst 5,-,-,-,-,-,-,-,Cold Damage reduced by 100%
Frost Magic,Freeze,1,6,Y,-,-,Y,Cold 1-8,Single,-,-,-,-,-,-,-,
Frost Magic,Frost,1,6,Y,-,-,Y,Cold 1-3,Burst 3,-,-,-,-,-,-,-,
Frost Magic,Frozen Heart,1,8,Y,-,Lifeless,Y,Cold 1-20,Single,MR 2d4,-,-,-,-,-,-,
